Company,Job Role,Skills Needed
Flipkart,Customer Success Manager,"Java, Machine Learning, SEM, HTML, Ethical Hacking, System Design, Microservices, Kubernetes"
Cisco,Machine Learning Engineer,"Data Visualization, Java, NLP, UX Research, Tableau, HTML, Angular, Docker, CSS"
AMD,Business Intelligence Analyst,"R, Financial Modeling, Blockchain, HTML, Deep Learning, Node.js, GCP, Data Visualization, Figma, SQL"
Cisco,Financial Analyst,"UI Design, Solidity, Tableau, Blockchain, Azure, Linux, Testing"
Siemens,Blockchain Developer,"Automation, Digital Marketing, Docker, Java, Web3, Blockchain, Python"
ByteDance,Cybersecurity Analyst,"SEM, Azure, Java, Financial Modeling, Agile, Ethical Hacking, Blockchain, SEO, Kubernetes, Machine Learning"
Qualcomm,AR/VR Developer,"Python, Blockchain, Project Management, Tableau, Network Security, Power BI, R, Risk Analysis, Microservices"
Barclays,Game Developer,"Docker, Microservices, Kubernetes, Node.js, CI/CD, System Design, Digital Marketing, AWS, GCP"
Cisco,Quantitative Analyst,"React, Angular, GCP, UI Design, Scrum, Solidity, Web3, Microservices, Kubernetes, SEO"
Uber,Growth Hacker,"Docker, Java, Scrum, Testing, SEM"
Cisco,Blockchain Developer,"Digital Marketing, Project Management, Data Visualization, Power BI, Kubernetes"
AMD,DevOps Engineer,"SEM, Testing, CI/CD, Agile, Financial Modeling, Automation, Blockchain"
PwC,Quantitative Analyst,"Ethical Hacking, SEO, Azure, Financial Modeling, UI Design, Machine Learning, CSS, Deep Learning, Network Security"
Flipkart,UI/UX Designer,"HTML, Kubernetes, Project Management, React, Solidity, Docker, Financial Modeling, R, Deep Learning, Excel"
Bain & Company,Machine Learning Engineer,"NLP, Digital Marketing, C++, SQL, Web3, Excel, SEO"
JP Morgan Chase,Game Developer,"Scrum, Python, Tableau, Linux, Ethical Hacking, Data Visualization, Azure, AWS, Deep Learning"
BlackRock,Quantitative Analyst,"SQL, Agile, C++, Python, Machine Learning"
Zomato,Supply Chain Analyst,"Digital Marketing, Python, Ethical Hacking, Angular, Figma, Node.js, Project Management, CSS, Microservices, Machine Learning"
KPMG,Network Engineer,"Figma, Solidity, C++, Machine Learning, R, Power BI, Financial Modeling"
Stripe,Embedded Systems Engineer,"Python, Financial Modeling, Automation, Tableau, Node.js"
Siemens,Cloud Solutions Architect,"Docker, GCP, Scrum, CI/CD, Figma, CSS, Java, Data Visualization, Linux"
BlackRock,Operations Manager,"Network Security, Figma, HTML, UI Design, CI/CD, Deep Learning, AWS"
PayPal,DevOps Engineer,"GCP, Web3, Solidity, Scrum, Cybersecurity, SEO, Linux, Excel, Automation, AWS"
Stripe,Product Manager,"Scrum, UI Design, NLP, Risk Analysis, Kubernetes, Cybersecurity, HTML, Python"
Honeywell,Full Stack Developer,"Azure, Figma, Agile, Scrum, Project Management, Linux, Digital Marketing"
Atlassian,Quantitative Analyst,"Tableau, Excel, Machine Learning, Testing, Deep Learning, Cybersecurity, Financial Modeling, Agile, SQL"
BCG,HR Analytics Specialist,"Network Security, Financial Modeling, Cybersecurity, Power BI, Project Management, R, HTML"
Flipkart,Full Stack Developer,"Digital Marketing, NLP, Kubernetes, System Design, Automation, Angular, CI/CD, Financial Modeling"
AMD,Mobile App Developer,"NLP, Automation, SEO, CSS, Deep Learning, Agile, Python, HTML"
Cisco,UI/UX Designer,"Microservices, Linux, Kubernetes, Angular, Risk Analysis, NLP, Solidity, Docker, Project Management, Agile"
PayPal,Game Developer,"Project Management, Microservices, Figma, Deep Learning, Docker, Testing, Web3, Azure, Ethical Hacking"
Intel,Financial Analyst,"Cybersecurity, React, Financial Modeling, Figma, Scrum, Agile, Blockchain"
Oracle,Growth Hacker,"CSS, Ethical Hacking, Kubernetes, Angular, AWS, NLP, Docker, R"
Siemens,Growth Hacker,"SQL, Financial Modeling, Figma, NLP, Testing, UI Design, CI/CD, Kubernetes, AWS"
Uber,QA Automation Engineer,"Digital Marketing, UI Design, Python, Risk Analysis, Figma, Node.js"
Atlassian,Quantitative Analyst,"GCP, Java, Power BI, Selenium, Docker, CSS, Cybersecurity, C++, Solidity"
Uber,Data Scientist,"Financial Modeling, Network Security, Angular, Ethical Hacking, Java, Testing, React"
Oracle,Cloud Solutions Architect,"Excel, GCP, Node.js, Python, Kubernetes, AWS, NLP, Solidity"
PwC,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity, Solidity, Microservices, CSS, Java"
Salesforce,Operations Manager,"System Design, HTML, Node.js, Financial Modeling, Project Management, Microservices, Power BI, Linux, Testing, AWS"
NVIDIA,Financial Analyst,"Python, Azure, Tableau, GCP, Blockchain, C++, Project Management, R"
Samsung Electronics,Cybersecurity Analyst,"C++, System Design, Kubernetes, Cybersecurity, Node.js, NLP"
Samsung Electronics,Machine Learning Engineer,"Linux, Angular, Excel, Solidity, Web3, Data Visualization, C++, AWS"
AMD,Quantitative Analyst,"UX Research, Automation, Web3, HTML, Tableau, Microservices"
LG Electronics,Product Manager,"UX Research, SQL, HTML, Data Visualization, GCP"
Databricks,Supply Chain Analyst,"Web3, Network Security, SQL, Agile, Azure"
Razorpay,Financial Analyst,"Digital Marketing, GCP, Java, Excel, Python, Ethical Hacking, UI Design"
Oracle,Customer Success Manager,"Microservices, Figma, AWS, System Design, Azure, Kubernetes, Network Security, Automation, Cybersecurity, Ethical Hacking"
McKinsey,Cybersecurity Analyst,"System Design, Digital Marketing, Cybersecurity, NLP, HTML, Financial Modeling, Network Security, Node.js"
EY,Systems Analyst,"Excel, Machine Learning, Automation, Network Security, AWS, Deep Learning, Tableau, Ethical Hacking"
Barclays,QA Automation Engineer,"Testing, SEO, Cybersecurity, React, Docker, SQL, Angular, Solidity"
Uber,Growth Hacker,"Automation, Figma, Azure, SQL, Scrum"
Workday,Risk Analyst,"Linux, NLP, Agile, Microservices, Angular"
Zomato,Digital Marketing Manager,"Machine Learning, Blockchain, Cybersecurity, Financial Modeling, Azure, Risk Analysis, CI/CD, Digital Marketing, Node.js, Deep Learning"
PayPal,AR/VR Developer,"Python, Kubernetes, Selenium, R, Excel"
Barclays,Technical Program Manager,"SQL, Ethical Hacking, System Design, SEM, React, Blockchain, Data Visualization, Deep Learning"
BlackRock,UI/UX Designer,"System Design, Microservices, CI/CD, Machine Learning, CSS, Selenium"
LG Electronics,Quantitative Analyst,"Java, Scrum, Data Visualization, Deep Learning, AWS, Machine Learning, CI/CD, GCP, Power BI"
Razorpay,Full Stack Developer,"System Design, Microservices, Data Visualization, Tableau, Financial Modeling, Deep Learning, SQL, Node.js"
PwC,Mobile App Developer,"Kubernetes, SEM, Machine Learning, SQL, NLP, Data Visualization, GCP"
Razorpay,Robotics Engineer,"Network Security, Web3, HTML, R, Java, Tableau, System Design, GCP"
LG Electronics,Systems Analyst,"Network Security, SEO, AWS, Figma, Risk Analysis, React, Kubernetes, Project Management, Microservices, Java"
ServiceNow,Machine Learning Engineer,"Angular, Node.js, Tableau, UI Design, Web3, Risk Analysis, Financial Modeling"
Twilio,Blockchain Developer,"SEO, Scrum, Testing, Digital Marketing, React"
Morgan Stanley,Quantitative Analyst,"Web3, Risk Analysis, GCP, Linux, Node.js, CSS"
Qualcomm,Network Engineer,"CI/CD, Network Security, Testing, Risk Analysis, Scrum"
Razorpay,Systems Analyst,"SEM, Figma, Angular, AWS, C++, Web3, UI Design, Excel, HTML, Automation"
3M,Financial Analyst,"HTML, Project Management, Deep Learning, Network Security, Financial Modeling"
LG Electronics,Site Reliability Engineer,"Microservices, Excel, Financial Modeling, Digital Marketing, Ethical Hacking, Scrum, Java, CI/CD, NLP, C++"
Samsung Electronics,Cloud Solutions Architect,"Kubernetes, Angular, React, Python, C++, Web3, CI/CD, Testing, SQL"
Honeywell,Cybersecurity Analyst,"UX Research, Tableau, Digital Marketing, Docker, Microservices, NLP"
Flipkart,Database Administrator,"Ethical Hacking, AWS, HTML, Excel, Web3, R"
BlackRock,Supply Chain Analyst,"Digital Marketing, Docker, Agile, Solidity, HTML, Web3, Excel"
Twilio,AI Research Scientist,"Python, Ethical Hacking, Risk Analysis, Agile, Machine Learning, Data Visualization"
Shopify,Data Scientist,"CI/CD, Selenium, Network Security, Power BI, Blockchain, Risk Analysis, Automation, SEO"
EY,Financial Analyst,"Excel, Risk Analysis, HTML, GCP, Machine Learning, Ethical Hacking"
KPMG,Product Manager,"Power BI, SEO, Solidity, CSS, Risk Analysis, Scrum, SEM, CI/CD"
Palantir,Full Stack Developer,"Docker, CI/CD, Financial Modeling, Data Visualization, R, Testing, HTML, Network Security, Blockchain, Java"
Razorpay,Customer Success Manager,"Power BI, AWS, Linux, Tableau, CI/CD, Scrum, Testing, Python, Node.js, UI Design"
Zomato,Data Scientist,"Automation, R, NLP, Cybersecurity, Docker"
Razorpay,Business Intelligence Analyst,"GCP, Financial Modeling, Network Security, Scrum, UX Research, Cybersecurity, Angular, Linux"
Stripe,Risk Analyst,"Java, NLP, UI Design, SEM, Tableau, Kubernetes, Node.js, SEO, Web3"
Airbnb,DevOps Engineer,"Figma, Selenium, SEO, Azure, C++, Microservices, SEM, Deep Learning, Network Security"
BCG,Mobile App Developer,"Power BI, Excel, AWS, SEM, HTML, Microservices, CI/CD, UI Design, React, UX Research"
Uber,Full Stack Developer,"Azure, Deep Learning, AWS, Blockchain, React, Python, Digital Marketing"
BCG,Digital Marketing Manager,"Digital Marketing, UX Research, Financial Modeling, AWS, Linux, Node.js, React"
ServiceNow,AR/VR Developer,"C++, Linux, Network Security, R, Financial Modeling, Microservices, Digital Marketing, SEO, GCP"
3M,Technical Program Manager,"CSS, Angular, Testing, HTML, React, UI Design, Project Management, CI/CD, Digital Marketing, Power BI"
Adobe,Product Manager,"Tableau, React, Network Security, C++, Power BI"
ServiceNow,AR/VR Developer,"Microservices, Automation, Financial Modeling, Solidity, Network Security, Java, Ethical Hacking, Power BI, Testing"
SpaceX,DevOps Engineer,"Network Security, Web3, CSS, Node.js, System Design, Ethical Hacking, SEO, Power BI, Figma"
BlackRock,Data Scientist,"Selenium, Microservices, Java, Python, NLP, Deep Learning, Angular, SEM, Tableau, SQL"
NVIDIA,Embedded Systems Engineer,"Azure, AWS, Cybersecurity, Ethical Hacking, Java, Python, Microservices"
Workday,Risk Analyst,"Ethical Hacking, Data Visualization, Figma, SEO, C++, Automation, NLP, Digital Marketing, Scrum"
Siemens,Mobile App Developer,"CSS, Automation, Financial Modeling, System Design, SEM, Scrum"
Bain & Company,Site Reliability Engineer,"Financial Modeling, Python, Docker, Microservices, Deep Learning, Figma, Digital Marketing, NLP"
PayPal,Full Stack Developer,"Figma, Scrum, Web3, Automation, Blockchain"
ServiceNow,Business Intelligence Analyst,"Automation, HTML, Java, Network Security, Ethical Hacking, C++, CI/CD"
HSBC,Technical Program Manager,"AWS, Python, Financial Modeling, Deep Learning, C++, Kubernetes, Testing, SQL, SEM"
Cisco,Systems Analyst,"R, Power BI, Selenium, Linux, Docker, Financial Modeling, Python, UI Design, Azure"
SpaceX,Embedded Systems Engineer,"Network Security, Power BI, UI Design, AWS, Cybersecurity, Selenium, Kubernetes, Deep Learning"
JP Morgan Chase,Digital Marketing Manager,"Solidity, Selenium, Figma, Web3, Automation, Microservices, React, Risk Analysis, Blockchain"
3M,Customer Success Manager,"UI Design, Linux, Java, Power BI, Scrum, SEM, Kubernetes, Python, Microservices"
Honeywell,Growth Hacker,"React, Machine Learning, Power BI, System Design, Tableau"
ByteDance,Growth Hacker,"CSS, Project Management, R, Deep Learning, Ethical Hacking, Tableau, UI Design, UX Research"
Zomato,Customer Success Manager,"UX Research, Digital Marketing, Machine Learning, Ethical Hacking, Java, Node.js, Cybersecurity, SEO"
Intel,Database Administrator,"Scrum, Power BI, Tableau, Project Management, CSS, Angular, Solidity, Node.js"
Swiggy,Database Administrator,"Project Management, Data Visualization, SQL, Solidity, Digital Marketing, Azure, Power BI, R, Figma"
PayPal,Quantitative Analyst,"Microservices, Agile, Scrum, Machine Learning, Testing, AWS, SEM, Financial Modeling, Blockchain"
Intel,Customer Success Manager,"Financial Modeling, Microservices, Python, Selenium, CSS, SEM, Power BI"
Uber,HR Analytics Specialist,"Deep Learning, Figma, Risk Analysis, Python, Docker, Solidity, NLP"
Oracle,Supply Chain Analyst,"Web3, Network Security, Selenium, Cybersecurity, Agile"
PayPal,DevOps Engineer,"Power BI, Python, Project Management, UX Research, Blockchain"
NVIDIA,Blockchain Developer,"Docker, SQL, Risk Analysis, HTML, CSS, Blockchain"
PayPal,UI/UX Designer,"HTML, Linux, SQL, Financial Modeling, Figma, CSS, GCP"
SAP,Systems Analyst,"Selenium, Excel, Node.js, Financial Modeling, Risk Analysis, SEM"
Intel,Full Stack Developer,"Machine Learning, Digital Marketing, Java, Kubernetes, Excel, Blockchain"
Qualcomm,QA Automation Engineer,"Testing, Financial Modeling, Risk Analysis, Data Visualization, React, Selenium, R, Digital Marketing"
BCG,DevOps Engineer,"Agile, Figma, Ethical Hacking, Risk Analysis, Data Visualization, C++, R, AWS, CSS, CI/CD"
Tesla,Supply Chain Analyst,"Network Security, R, Linux, Blockchain, SEO, Solidity"
ServiceNow,Systems Analyst,"Angular, CSS, Project Management, Ethical Hacking, Financial Modeling, Solidity, Selenium, Excel, Machine Learning"
HSBC,DevOps Engineer,"Machine Learning, Scrum, C++, Deep Learning, Blockchain, R, Solidity, Financial Modeling, Microservices"
Twilio,Growth Hacker,"Selenium, Excel, Blockchain, Linux, UI Design, Angular"
Airbnb,Risk Analyst,"Network Security, Ethical Hacking, Kubernetes, Scrum, Power BI, Deep Learning, UI Design"
Stripe,UI/UX Designer,"Power BI, Risk Analysis, Java, System Design, Digital Marketing, Selenium"
PayPal,Game Developer,"Solidity, SEO, C++, Risk Analysis, Data Visualization, UI Design, NLP, SQL, Selenium"
Tesla,Blockchain Developer,"UX Research, NLP, GCP, CSS, Python, AWS"
EY,Cybersecurity Analyst,"NLP, Power BI, GCP, Deep Learning, Microservices, Machine Learning, Solidity, Risk Analysis"
Bosch,Supply Chain Analyst,"Project Management, Network Security, React, CSS, Blockchain, Scrum, Power BI, GCP, SQL"
Airbnb,Robotics Engineer,"HTML, Linux, Machine Learning, SQL, Power BI, C++"
Morgan Stanley,Risk Analyst,"Docker, Tableau, Agile, Kubernetes, CI/CD, HTML, Solidity, Digital Marketing"
Bosch,Business Intelligence Analyst,"Project Management, Linux, CSS, GCP, React"
Swiggy,Customer Success Manager,"Blockchain, Deep Learning, NLP, Linux, Node.js, Tableau, Cybersecurity"
Tesla,Mobile App Developer,"NLP, Power BI, Automation, Excel, Digital Marketing, Solidity"
ByteDance,Blockchain Developer,"Microservices, Web3, Node.js, Network Security, R, CI/CD"
Goldman Sachs,AI Research Scientist,"Data Visualization, SQL, Figma, Agile, CI/CD, System Design, GCP, SEM, Python, Machine Learning"
Salesforce,Business Intelligence Analyst,"CI/CD, Excel, Docker, NLP, GCP, Network Security, Microservices, Risk Analysis, HTML"
Databricks,Customer Success Manager,"Cybersecurity, SEM, UI Design, Automation, Kubernetes"
McKinsey,Embedded Systems Engineer,"Project Management, Web3, Python, UI Design, CSS, CI/CD, Blockchain, Data Visualization, System Design"
SAP,Cloud Solutions Architect,"Project Management, CI/CD, Blockchain, Automation, Selenium, Microservices, C++, Power BI"
ServiceNow,Product Manager,"Solidity, SEO, Network Security, Linux, Python"
Oracle,Site Reliability Engineer,"UI Design, System Design, Power BI, Network Security, SEM, AWS, R, Selenium, Figma, Java"
McKinsey,QA Automation Engineer,"Project Management, Ethical Hacking, UI Design, CSS, Kubernetes"
Shopify,Game Developer,"Docker, R, Node.js, Tableau, Python, Web3, Cybersecurity, Ethical Hacking, Scrum, Selenium"
Qualcomm,Network Engineer,"Ethical Hacking, NLP, Deep Learning, SEO, Figma, Digital Marketing, Scrum"
BlackRock,Blockchain Developer,"Blockchain, Figma, Microservices, SQL, React, SEM, CSS, NLP, Project Management, Data Visualization"
BCG,QA Automation Engineer,"Tableau, Azure, Kubernetes, System Design, Agile, Web3, CSS"
HSBC,Mobile App Developer,"Automation, Tableau, Microservices, Java, SQL, CI/CD"
3M,Cybersecurity Analyst,"Blockchain, Project Management, Cybersecurity, Figma, Linux, Microservices, Kubernetes, Azure, Solidity, HTML"
ServiceNow,Full Stack Developer,"Scrum, Azure, Selenium, NLP, Machine Learning, AWS"
Swiggy,Game Developer,"CSS, NLP, CI/CD, Financial Modeling, HTML, SEO, Blockchain, Angular"
Zoom,DevOps Engineer,"HTML, CI/CD, UI Design, Tableau, Network Security"
Oracle,Digital Marketing Manager,"Web3, Solidity, Automation, SEM, SEO"
McKinsey,Growth Hacker,"Excel, Node.js, Solidity, GCP, CI/CD, Figma, UI Design"
Tesla,Mobile App Developer,"Risk Analysis, Machine Learning, Java, Digital Marketing, Solidity, UI Design, Scrum, SEO"
