Company,Job Role,Skills Needed
Google,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Google,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Google,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Google,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Google,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Google,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Google,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Google,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Google,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Google,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Microsoft,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Microsoft,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Microsoft,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Microsoft,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Microsoft,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Microsoft,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Microsoft,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Microsoft,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Microsoft,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Microsoft,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Amazon,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Amazon,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Amazon,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Amazon,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Amazon,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Amazon,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
